Year,State Code,State Name,District Code,District Name,Number of Blocks,Number of Clusters,Number of Villages,Total Number of Schools,Total Poulation,0-6 Population,Percentage Urban Population,Sexratio,Sex Ratio 0-6,Decadal Growth Rate,Percentage SC Population,Percentage ST Population,Overall Literacy,Female Literacy
2012-13,12,ARUNACHAL PRADESH                                 ,1212,CHANGLANG                                         ,7,14,318,367,147951,25477.16,11.5,914,954,17.96,0,36.35,Low,52.08
2012-13,12,ARUNACHAL PRADESH                                 ,1210,DIBANG VALLEY                                     ,3,6,31,37,7948,1103.98,11.64,808,831,9.3,0,71.23,Low,59.1
2012-13,12,ARUNACHAL PRADESH                                 ,1203,EAST KAMENG                                       ,8,24,269,292,78413,13996.72,17.95,1012,970,37.14,0,92.01,Low,54.18
2012-13,12,ARUNACHAL PRADESH                                 ,1208,EAST SIANG                                        ,6,19,138,269,99019,12119.93,10.93,962,984,13.3,0,70.53,Medium,67.9
2012-13,12,ARUNACHAL PRADESH                                 ,1214,KURUNG KUMEY                                      ,10,15,327,410,89717,15538.98,18.74,1029,978,111.01,0,98.58,Low,44.31
2012-13,12,ARUNACHAL PRADESH                                 ,1211,LOHIT                                             ,5,19,217,323,145538,23606.26,12.57,901,954,16.44,0,32.53,Medium,61.62
2012-13,12,ARUNACHAL PRADESH                                 ,1215,LOWER DIBANG VALLEY                               ,3,10,100,147,53986,7714.6,9.75,919,945,7.01,0,48.03,Medium,63.56
2012-13,12,ARUNACHAL PRADESH                                 ,1205,LOWER SUBANSIRI                                   ,3,23,164,323,82839,9990.38,10.97,975,969,48.65,0,87.81,High,70.1
2012-13,12,ARUNACHAL PRADESH                                 ,1204,PAPUM PARE                                        ,5,14,342,532,176385,23670.87,12.45,950,963,44.57,0,66.38,High,76.65
2012-13,12,ARUNACHAL PRADESH                                 ,1201,TAWANG                                            ,6,12,173,166,49950,5629.37,12.23,701,1005,28.33,0,69.65,Low,48.75
2012-13,12,ARUNACHAL PRADESH                                 ,1213,TIRAP                                             ,6,9,166,244,111997,19319.48,12.08,931,950,11.63,0,87.85,Low,41.83
2012-13,12,ARUNACHAL PRADESH                                 ,1209,UPPER SIANG                                       ,6,10,79,140,35289,4626.39,12.51,891,968,5.77,0,80.6,Low,55.22
2012-13,12,ARUNACHAL PRADESH                                 ,1206,UPPER SUBANSIRI                                   ,9,14,400,407,83205,11315.88,12.4,982,968,50.34,0,93.86,Low,60.51
2012-13,12,ARUNACHAL PRADESH                                 ,1202,WEST KAMENG                                       ,5,16,158,225,87013,11407.4,10.34,755,965,16.64,0,55.25,Medium,60.8
2012-13,12,ARUNACHAL PRADESH                                 ,1207,WEST SIANG                                        ,12,21,334,434,112272,13854.36,10.73,916,928,8.04,0,82.64,Medium,60.76
2012-13,18,ASSAM                                             ,1824,BAKSA                                             ,4,117,656,2214,953773,117409.46,1.28,967,962,11.17,7.69,34.84,Medium,62.23
2012-13,18,ASSAM                                             ,1805,BARPETA                                           ,7,162,830,3196,1693190,280561.58,8.7,951,955,21.4,5.63,1.62,Medium,59.04
2012-13,18,ASSAM                                             ,1804,BONGAIGAON                                        ,4,68,500,1354,732639,113778.84,13.76,961,965,19.58,11.21,2.55,Medium,65.18
2012-13,18,ASSAM                                             ,1821,CACHAR                                            ,8,176,1170,2947,1736319,246904.56,18.2,958,955,20.17,15.25,1.01,High,74.62
2012-13,18,ASSAM                                             ,1825,CHIRANG                                           ,2,61,489,1195,481818,70200.88,7.37,969,958,11.26,7.29,37.06,Low,57.87
2012-13,18,ASSAM                                             ,1808,DARRANG                                           ,3,95,546,1580,908090,149653.23,6.1,923,941,19.51,4.34,0.91,Low,60.4
2012-13,18,ASSAM                                             ,1813,DHEMAJI                                           ,3,101,1095,2124,688077,99702.36,7.04,949,945,20.3,6.45,47.45,Medium,62.13
2012-13,18,ASSAM                                             ,1802,DHUBRI                                            ,7,200,1037,4109,1948632,358938.01,10.36,952,965,24.4,3.61,0.33,Low,54.26
2012-13,18,ASSAM                                             ,1815,DIBRUGARH                                         ,6,107,1071,2134,1327748,154948.19,18.36,952,957,12.04,4.44,7.76,High,69.52
2012-13,18,ASSAM                                             ,1820,DIMA HASAO                                        ,5,79,702,1015,213529,31751.76,28.67,931,956,13.53,2.03,70.92,High,72.15
2012-13,18,ASSAM                                             ,1803,GOALPARA                                          ,4,127,693,2356,1008959,165771.96,13.66,962,954,22.74,4.47,22.97,Medium,64.53
2012-13,18,ASSAM                                             ,1818,GOLAGHAT                                          ,5,105,884,2015,1058674,128417.16,9.24,961,961,11.88,5.84,10.48,High,72.18
2012-13,18,ASSAM                                             ,1823,HAILAKANDI                                        ,3,103,381,2273,659260,109569.01,7.31,946,948,21.44,10.72,0.11,High,68.54
2012-13,18,ASSAM                                             ,1817,JORHAT                                            ,6,136,790,2576,1091295,117532.47,20.12,956,963,9.21,8.12,12.82,High,78.22
2012-13,18,ASSAM                                             ,1827,KAMRUP-METRO                                      ,2,46,220,866,1260419,120496.06,82.9,922,994,18.95,8.12,5.99,High,85.82
2012-13,18,ASSAM                                             ,1806,KAMRUP-RURAL                                      ,9,160,922,2997,1517202,194960.46,9.36,946,962,15.67,7.11,12,Medium,67.69
2012-13,18,ASSAM                                             ,1819,KARBI ANGLONG                                     ,11,190,668,2529,965280,183885.84,11.82,956,916,18.69,4.7,56.34,Medium,64.62
2012-13,18,ASSAM                                             ,1822,KARIMGANJ                                         ,6,112,948,2493,1217002,203239.33,9.06,961,958,20.74,12.85,0.16,High,73.49
2012-13,18,ASSAM                                             ,1801,KOKRAJHAR                                         ,4,140,946,2359,886999,131896.75,6.17,958,951,5.19,3.33,31.41,Medium,59.54
2012-13,18,ASSAM                                             ,1812,LAKHIMPUR                                         ,6,165,991,2942,1040644,150893.38,8.77,965,958,17.06,7.85,23.93,High,71.91
2012-13,18,ASSAM                                             ,1809,MARIGAON                                          ,4,98,534,1851,957853,159099.38,7.65,974,950,23.39,12.31,14.29,Medium,64.99
2012-13,18,ASSAM                                             ,1810,NAGAON                                            ,11,251,1312,4099,2826006,446226.35,13.03,962,958,22.09,9.43,4.08,Medium,69.21
2012-13,18,ASSAM                                             ,1807,NALBARI                                           ,4,98,445,1514,769919,90619.47,10.72,945,963,11.74,7.8,3.03,High,73.85
2012-13,18,ASSAM                                             ,1816,SIBSAGAR                                          ,6,149,826,2611,1150253,133889.45,9.55,951,957,9.37,3.68,4.26,High,75.69
2012-13,18,ASSAM                                             ,1811,SONITPUR                                          ,7,179,1530,2903,1925975,267325.33,8.89,946,958,15.67,5.67,12.07,Medium,62.53
2012-13,18,ASSAM                                             ,1814,TINSUKIA                                          ,5,99,814,1733,1316948,175022.39,19.97,948,971,14.51,2.84,6.18,Medium,63.54
2012-13,18,ASSAM                                             ,1826,UDALGURI                                          ,3,98,738,1704,832769,109259.29,4.51,966,965,9.76,4.55,32.15,Medium,59.17
2012-13,10,BIHAR                                             ,1007,ARARIA                                            ,9,99,948,1881,2806200,564046.2,6.01,921,954,30,13.61,1.38,Low,45.18
2012-13,10,BIHAR                                             ,1038,ARWAL                                             ,5,33,298,529,699563,123682.74,7.36,927,941,19.01,20.16,0.08,Medium,56.85
2012-13,10,BIHAR                                             ,1034,AURANGABAD (BIHAR)                                ,11,174,1609,1946,2511243,437960.78,9.38,916,945,24.75,24.1,0.04,Medium,62.05
2012-13,10,BIHAR                                             ,1023,BANKA                                             ,11,100,1471,2008,2029339,362642.88,3.52,907,939,26.14,12.18,4.44,Low,49.4
2012-13,10,BIHAR                                             ,1020,BEGUSARAI                                         ,18,137,868,1571,2954367,532376.93,19.19,894,911,25.75,14.55,0.05,Medium,57.1
2012-13,10,BIHAR                                             ,1022,BHAGALPUR                                         ,17,151,1366,1951,3032226,532155.66,19.79,879,934,25.13,10.49,2.21,Low,56.49
2012-13,10,BIHAR                                             ,1029,BHOJPUR                                           ,14,159,1142,2069,2720155,440937.13,14.29,900,915,21.27,15.59,0.51,Medium,60.2
2012-13,10,BIHAR                                             ,1030,BUXAR                                             ,11,95,756,1224,1707643,286884.02,9.61,922,925,21.77,14.75,1.57,Medium,59.84
2012-13,10,BIHAR                                             ,1013,DARBHANGA                                         ,19,197,1146,2443,3921971,700856.22,9.69,910,928,19,15.64,0.07,Low,46.88
2012-13,10,BIHAR                                             ,1035,GAYA                                              ,24,149,2313,3116,4379383,762450.58,13.14,932,959,26.08,30.39,0.07,Medium,55.9
2012-13,10,BIHAR                                             ,1015,GOPALGANJ                                         ,14,120,1336,1809,2558037,436912.72,6.32,1015,945,18.83,12.49,2.37,Medium,56.03
2012-13,10,BIHAR                                             ,1037,JAMUI                                             ,10,143,1043,1723,1756078,313459.92,8.24,921,956,25.54,17.19,4.48,Low,49.44
2012-13,10,BIHAR                                             ,1033,JEHANABAD                                         ,7,59,502,929,1124176,193920.36,11.95,918,918,21.34,19.81,0.11,Medium,56.24
2012-13,10,BIHAR                                             ,1031,KAIMUR (BHABUA)                                   ,11,70,1089,1207,1626900,291865.86,4.02,919,939,27.54,22.69,3.57,Medium,59.56
2012-13,10,BIHAR                                             ,1010,KATIHAR                                           ,16,126,1589,2005,3068149,601664.02,8.91,916,956,28.23,8.57,5.86,Low,45.37
2012-13,10,BIHAR                                             ,1021,KHAGARIA                                          ,7,92,279,1074,1657599,347101.23,5.26,883,912,29.46,14.83,0.04,Low,52.16
2012-13,10,BIHAR                                             ,1008,KISHANGANJ                                        ,7,49,960,1575,1690948,341909.69,9.68,946,966,30.44,6.69,3.8,Low,47.98
2012-13,10,BIHAR                                             ,1025,LAKHISARAI                                        ,7,61,451,751,1000717,182230.57,14.29,900,915,24.74,15.31,0.83,Low,54.89
2012-13,10,BIHAR                                             ,1011,MADHEPURA                                         ,13,96,400,1492,1994618,397527.37,4.42,914,923,30.65,17.3,0.63,Low,42.75
2012-13,10,BIHAR                                             ,1005,MADHUBANI                                         ,21,241,1101,3165,4476044,779279.26,3.68,925,931,25.19,13.09,0.09,Low,48.3
2012-13,10,BIHAR                                             ,1024,MUNGER                                            ,9,79,488,1079,1359054,220982.18,28.3,879,925,19.45,13.44,1.57,Medium,65.53
2012-13,10,BIHAR                                             ,1014,MUZAFFARPUR                                       ,16,171,1817,3104,4778610,817620.17,9.83,898,917,27.54,15.66,0.13,Medium,56.82
2012-13,10,BIHAR                                             ,1027,NALANDA                                           ,20,191,1076,2207,2872523,500968.01,15.93,921,929,21.18,21.12,0.05,Medium,54.76
2012-13,10,BIHAR                                             ,1036,NAWADA                                            ,14,132,917,1683,2216653,367299.4,9.72,936,985,22.49,25.47,0.09,Low,51.09
2012-13,10,BIHAR                                             ,1001,PASHCHIM CHAMPARAN                                ,18,193,1137,2536,3922780,753566.04,10.04,906,950,28.89,14.08,6.35,Low,46.79
2012-13,10,BIHAR                                             ,1028,PATNA                                             ,24,273,1569,3492,5772804,905752.95,43.48,892,899,22.34,15.77,0.16,Medium,63.72
2012-13,10,BIHAR                                             ,1002,PURBA CHAMPARAN                                   ,27,207,1480,3202,5082868,993700.69,7.85,901,923,29.01,12.74,0.24,Low,47.36
2012-13,10,BIHAR                                             ,1009,PURNIA                                            ,14,114,1162,2081,3273127,644151.39,10.41,930,953,28.66,11.98,4.27,Low,43.19
2012-13,10,BIHAR                                             ,1032,ROHTAS                                            ,19,202,1815,2147,2962593,492975.48,14.43,914,925,20.22,18.57,1.07,High,64.95
2012-13,10,BIHAR                                             ,1012,SAHARSA                                           ,10,113,637,1269,1897102,377523.3,8.18,906,928,25.79,16.69,0.32,Low,42.73
2012-13,10,BIHAR                                             ,1019,SAMASTIPUR                                        ,20,182,1090,2596,4254782,784156.32,3.46,909,941,25.33,18.85,0.04,Low,53.52
2012-13,10,BIHAR                                             ,1017,SARAN                                             ,20,175,1515,2548,3943098,657314.44,8.93,949,922,21.37,12,0.93,Medium,56.89
2012-13,10,BIHAR                                             ,1026,SHEIKHPURA                                        ,6,40,327,486,634927,118223.41,17.14,926,940,20.82,20.6,0.1,Medium,54.93
2012-13,10,BIHAR                                             ,1003,SHEOHAR                                           ,5,35,177,429,656916,124945.42,4.28,890,925,27.32,14.73,0.05,Low,47.25
2012-13,10,BIHAR                                             ,1004,SITAMARHI                                         ,17,169,834,2166,3419622,643914.82,5.58,899,932,27.47,11.85,0.09,Low,43.4
2012-13,10,BIHAR                                             ,1016,SIWAN                                             ,19,159,1374,2137,3318176,532899.07,5.49,984,934,22.25,11.61,2.61,Medium,60.35
2012-13,10,BIHAR                                             ,1006,SUPAUL                                            ,11,94,607,1775,2228397,424509.63,4.74,925,942,28.62,15.89,0.46,Low,46.63
2012-13,10,BIHAR                                             ,1018,VAISHALI                                          ,16,184,1155,2079,3495249,591745.66,6.65,892,894,28.58,21.12,0.07,Medium,59.1
2012-13,4,CHANDIGARH                                        ,401,CHANDIGARH                                        ,20,20,79,188,1054686,117913.89,97.25,818,867,17.1,18.86,0,High,81.38
2012-13,22,CHHATTISGARH                                      ,2222,BALOD                                             ,5,93,784,1496,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2224,BALODABAZAR                                       ,6,118,1054,2155,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2226,BALRAMPUR                                         ,6,111,718,2205,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2215,BASTER                                            ,7,132,906,2570,1411644,212875.92,13.7,1024,991,17.83,2.69,65.93,Low,44.49
2012-13,22,CHHATTISGARH                                      ,2223,BEMETARA                                          ,4,70,721,1281,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2220,BIJAPUR                                           ,4,56,459,1153,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2207,BILASPUR (CHHATTISGARH)                           ,7,114,1071,3188,2662077,400642.59,25.5,972,957,33.21,20.76,18.71,Medium,60.12
2012-13,22,CHHATTISGARH                                      ,2216,DANTEWADA                                         ,4,48,408,1112,532791,76455.51,18.04,1022,1005,11.9,2.44,76.88,Low,32.88
2012-13,22,CHHATTISGARH                                      ,2213,DHAMTARI                                          ,4,81,706,1598,799199,100539.23,18.66,1012,969,13.11,7.33,25.96,High,69.24
2012-13,22,CHHATTISGARH                                      ,2210,DURG                                              ,3,61,586,1519,3343079,421227.95,38.41,988,958,18.95,13.7,11.89,High,70.51
2012-13,22,CHHATTISGARH                                      ,2225,GARIABAND                                         ,5,85,809,1642,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2206,JANJGIR - CHAMPA                                  ,9,132,933,2818,1620632,219109.45,13.9,986,945,23.01,24.57,11.56,Medium,61.72
2012-13,22,CHHATTISGARH                                      ,2203,JASHPUR                                           ,8,136,827,2616,852043,120052.86,8.92,1004,974,14.65,5.74,62.28,Medium,59.05
2012-13,22,CHHATTISGARH                                      ,2214,KANKER                                            ,7,137,1259,2381,748593,97466.81,10.25,1007,975,15,4.21,55.38,Medium,61.08
2012-13,22,CHHATTISGARH                                      ,2208,KAWARDHA                                          ,4,56,1004,1811,822239,140767.32,10.62,997,973,40.66,14.57,20.31,Low,48.94
2012-13,22,CHHATTISGARH                                      ,2217,KONDAGAON                                         ,5,106,645,2188,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2205,KORBA                                             ,5,128,799,2512,1206563,168436.19,36.98,971,964,19.25,10.33,40.9,Medium,62.26
2012-13,22,CHHATTISGARH                                      ,2201,KORIYA                                            ,5,81,706,1620,659039,93254.02,31.19,971,968,12.4,8.31,46.18,Medium,61.01
2012-13,22,CHHATTISGARH                                      ,2212,MAHASAMUND                                        ,5,120,1187,2100,1032275,131408.61,11.64,1018,960,20,13.52,27.1,Medium,60.37
2012-13,22,CHHATTISGARH                                      ,2219,MUNGELI                                           ,3,44,634,1169,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2218,NARAYANPUR                                        ,2,30,246,601,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2204,RAIGARH (CHHATTISGARH)                            ,9,168,1371,3403,1493627,191333.62,16.49,993,943,18.02,15.06,33.84,Medium,63.25
2012-13,22,CHHATTISGARH                                      ,2211,RAIPUR                                            ,4,86,718,2182,4062160,569514.83,36.49,983,965,34.65,17.82,11.72,High,66.21
2012-13,22,CHHATTISGARH                                      ,2209,RAJNANDGAON                                       ,9,151,1694,3028,1537520,206335.18,17.73,1017,976,19.82,10.19,26.36,High,66.98
2012-13,22,CHHATTISGARH                                      ,2221,SUKMA                                             ,3,55,536,1011,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2227,SURAJPUR                                          ,6,109,690,2150,,,,,,,,,,
2012-13,22,CHHATTISGARH                                      ,2202,SURGUJA                                           ,7,108,635,2257,2361329,371909.32,10.38,976,955,19.74,4.9,55.11,Low,50.88
2012-13,26,DADRA & NAGAR HAVELI                              ,2601,DADRA AND NAGAR HAVELI(UT)                        ,1,11,70,315,342853,49199.41,46.62,775,924,55.5,1.8,51.95,High,65.93
2012-13,25,DAMAN & DIU                                       ,2502,DAMAN                                             ,1,4,26,74,190855,19543.55,46.62,533,905,67.43,2.23,7.97,High,81.14
2012-13,25,DAMAN & DIU                                       ,2501,DIU                                               ,1,3,13,46,52056,6335.22,83.1,1030,923,17.73,3.58,0.24,High,75.83
2012-13,7,DELHI                                             ,706,CENTRAL DELHI                                     ,6,9,68,251,578671,60413.25,-10.48,892,902,-10.48,24.59,0,High,82.6
2012-13,7,DELHI                                             ,704,EAST DELHI                                        ,7,7,129,589,1707725,189557.48,17.91,883,870,16.68,16.46,0,High,84.55
2012-13,7,DELHI                                             ,705,NEW DELHI                                         ,7,9,30,98,133713,11552.8,-25.35,811,884,-25.35,23.41,0,High,84.83
2012-13,7,DELHI                                             ,702,NORTH DELHI                                       ,6,9,76,290,883418,100886.34,17.79,871,872,13.04,18.66,0,High,81.92
2012-13,7,DELHI                                             ,703,NORTH EAST DELHI                                  ,6,9,130,749,2240749,296227.02,36.44,886,875,26.73,16.67,0,High,76.51
2012-13,7,DELHI                                             ,701,NORTH WEST DELHI                                  ,8,12,216,1047,3651261,443263.09,32.44,862,863,27.63,19.07,0,High,78.76
2012-13,7,DELHI                                             ,709,SOUTH DELHI                                       ,7,10,189,710,2733752,323129.49,29.22,859,878,20.59,15.48,0,High,80.99
2012-13,7,DELHI                                             ,708,SOUTH WEST DELHI                                  ,9,12,153,650,2292363,262704.8,40.44,836,836,30.62,13.89,0,High,83.07
2012-13,7,DELHI                                             ,707,WEST DELHI                                        ,7,13,178,719,2531583,282777.82,23.65,876,867,18.91,14.8,0,High,82.5
2012-13,30,GOA                                               ,3001,NORTH GOA                                         ,6,86,351,924,817761,75152.24,60.24,959,911,7.8,2.15,6.92,High,83.74
2012-13,30,GOA                                               ,3002,SOUTH GOA                                         ,5,52,226,552,639962,64380.18,64.63,980,930,8.63,1.22,14.47,High,79.42
2012-13,24,GUJARAT                                           ,2407,AHMADABAD                                         ,12,200,735,2736,7208200,802272.66,28.3,903,859,22.31,10.53,1.24,High,80.29
2012-13,24,GUJARAT                                           ,2413,AMRELI                                            ,11,120,637,1033,1513614,168767.96,41.01,964,879,8.59,8.78,0.48,Medium,66.97
2012-13,24,GUJARAT                                           ,2415,ANAND                                             ,8,166,362,1351,2090276,243726.18,22.76,921,877,12.57,4.99,1.19,High,77.76
2012-13,24,GUJARAT                                           ,2402,BANAS KANTHA                                      ,12,279,1377,2650,3116045,498878.8,20.93,936,890,24.43,10.49,9.11,Medium,52.58
2012-13,24,GUJARAT                                           ,2421,BHARUCH                                           ,8,129,713,1206,1550822,170590.42,79.68,924,914,13.14,4.01,31.48,High,76.79
2012-13,24,GUJARAT                                           ,2414,BHAVNAGAR                                         ,11,171,833,1552,2877961,369530.19,30.32,931,885,16.53,5.45,0.32,High,66.92
2012-13,24,GUJARAT                                           ,2418,DOHAD                                             ,7,176,739,1865,2126558,402982.74,49.54,986,937,29.95,1.95,74.32,Low,49.02
2012-13,24,GUJARAT                                           ,2406,GANDHINAGAR                                       ,4,96,483,945,1387478,159421.22,84.05,920,847,12.15,7.8,1.31,High,77.37
2012-13,24,GUJARAT                                           ,2410,JAMNAGAR                                          ,10,197,723,1838,2159130,254129.6,48.77,938,898,13.38,8.05,1.12,Medium,65.97
2012-13,24,GUJARAT                                           ,2412,JUNAGADH                                          ,14,184,881,2115,2742291,301377.78,25.49,952,904,12.01,9.69,2.03,High,67.59
2012-13,24,GUJARAT                                           ,2401,KACHCHH                                           ,10,249,1005,2001,2090313,310202.45,13.27,907,913,32.03,12.37,1.16,Medium,61.62
2012-13,24,GUJARAT                                           ,2416,KHEDA                                             ,10,211,662,1948,2298934,277251.44,14,937,887,12.81,5.03,1.75,High,74.67
2012-13,24,GUJARAT                                           ,2404,MAHESANA                                          ,9,146,735,1266,2027727,227713.74,14.96,925,845,9.91,7.98,0.46,High,76.12
2012-13,24,GUJARAT                                           ,2420,NARMADA                                           ,4,84,647,782,590379,75214.28,34.07,960,937,14.77,1.48,81.55,Medium,63.62
2012-13,24,GUJARAT                                           ,2424,NAVSARI                                           ,5,103,401,905,1330711,129478.18,37.23,961,921,8.24,2.67,48.11,High,79.3
2012-13,24,GUJARAT                                           ,2417,PANCH MAHALS                                      ,11,272,1127,2661,2388267,348925.81,8.99,945,923,17.92,4.2,30.18,Medium,59.95
2012-13,24,GUJARAT                                           ,2403,PATAN                                             ,7,114,672,957,1342746,179390.87,25.35,935,884,13.53,9.18,0.99,Medium,62.01
2012-13,24,GUJARAT                                           ,2411,PORBANDAR                                         ,3,48,163,460,586062,63822.15,33.05,947,894,9.17,8.85,2.23,High,68.32
2012-13,24,GUJARAT                                           ,2409,RAJKOT                                            ,15,211,948,2464,3799770,424054.33,44.96,924,854,19.87,7.63,0.63,High,75.26
2012-13,24,GUJARAT                                           ,2405,SABAR KANTHA                                      ,13,328,1313,2917,2427346,337401.09,43.21,950,899,16.56,7.73,22.32,High,65.29
2012-13,24,GUJARAT                                           ,2422,SURAT                                             ,10,170,841,2233,6079231,710662.1,10.89,788,836,42.19,2.6,14.09,High,81.02
2012-13,24,GUJARAT                                           ,2408,SURENDRANAGAR                                     ,10,140,686,1249,1755873,234233.46,58.12,929,889,15.89,10.22,1.22,Medium,62.2
2012-13,24,GUJARAT                                           ,2426,TAPI                                              ,5,81,555,915,806489,84520.05,46.06,1004,944,12.07,1.01,84.18,Medium,61.69
2012-13,24,GUJARAT                                           ,2423,THE DANGS                                         ,1,42,307,424,226769,39389.78,30.74,1007,963,21.44,0.44,94.65,High,68.75
2012-13,24,GUJARAT                                           ,2419,VADODARA                                          ,13,254,1810,3045,4157568,474378.51,10.44,934,894,14.16,5.32,27.61,High,74.4
2012-13,24,GUJARAT                                           ,2425,VALSAD                                            ,5,133,485,1228,1703068,206241.53,9.79,926,926,20.74,2.24,52.93,High,74.96
